year,palm_import_fao_tons,soy_import_fao_tons,palm_import_bdstat_kg,palm_trade_bdstat_value_000tk,soy_import_bdstat_kg,soy_import_bdstat_value_000tk,musterd_import_bdstat_kg,mustered_import_bdstat_value_000tk,oil_retail_price_bdt_liter
1986,173338.0,173338.0,,,,,,,
1987,,,,,,,,,
1988,,,,,,,,,
1989,,,,,,,,,
1990,,,,,,,,,
1991,,,,,,,,,
1992,,,,,,,,,
1993,,,,,,,,,
1994,,,,,,,,,
1995,,,,,,,,,
1996,,,,,,,,,
1997,,,,,,,,,
1998,243493.0,243493.0,,,,,,,
1999,,,,,,,,,
2000,,,,,,,,,
2001,,,,,,,,,
2002,,,,,,,,,
2003,,,,,,,,,
2004,,,,,,,,,
2005,608232.0,608232.0,,,,,,,38.8
2006,1506638.0,1506638.0,,,,,,,43.90625
2007,1728006.0,1728006.0,,,,,,,68.93742857142857
2008,,,,,,,,,83.02454545454545
2009,,,,,,,,,60.7174
2010,,,,,,,,,70.83283018867924
2011,,,,,,,,,97.27714285714285
2012,,,,,,,,,99.43666666666667
2013,,,,,,,,,80.36283018867924
2014,,,,,,,,,78.1975
2015,2800316.32,2800316.32,,,,,,,67.1512
2016,,,,,,,,,68.85442622950819
2017,,,,,,,,,74.1
2018,,,,,,,,,71.35942307692308
2019,,,,,,,,,66.82042553191489
2020,,,,,,,,,79.8615450643777
2021,,,"2,602,783,037 Kg",283677394,"1,369,191,196 Kg",169855596,"36,185,799 Kg",2377881,115.26768041237113
2022,,,"3,068,465,580 Kg",332634139,"1,410,429,766 Kg",204949590,"13,139,423 Kg",1906806,142.95303797468353
2023,,,"2,966,415,551 Kg",294346285,"1,133,688,749 Kg",127338277,"25,512,560 Kg",2630631,128.98559210526315
2024,,,,,,,,,147.6186862244898
