year,rice_prod_fao_tons,rice_prod_bdstat_tons,rice_import_fao_tons,Quantity_ton,rice_import_bdstat_value_000tk,rice_producer_price_lcu_ton,rice_producer_price_usd_ton,rice_retail_price_bdt_kg
1972,15133678.0,,,,,,,
1973,17862704.0,,,,,,,
1974,16929568.0,,,,,,,
1975,19142624.0,,,,,,,
1976,17628320.0,,,,,,,
1977,19451488.0,,,,,,,
1978,19582160.0,,,,,,,
1979,19109472.0,,,,,,,
1980,20821008.0,,,,,,,
1981,20445872.0,,,,,,,
1982,21324640.0,,,,,,,
1983,21761008.0,,,,,,,
1984,21933456.0,,,,,,,
1985,22556288.0,,,,,,,
1986,23110032.0,,146771.85,,,,,
1987,23120624.0,,,,,,,
1988,23316464.0,,,,,,,
1989,26784480.0,,,,,,,
1990,26777904.0,,,,,,,
1991,27242000.0,,,,,6330.0,173.0,
1992,27373000.0,,,,,6310.0,162.0,
1993,26928000.0,,,,,5560.0,140.5,
1994,25124000.0,,,,,6160.0,153.2,
1995,26399000.0,,,,,7070.0,175.5,
1996,28182000.0,,,,,5480.0,131.1,
1997,28152000.0,,,,,5340.0,121.7,
1998,29710000.0,,2266472.35,,,6380.0,136.0,13.459125
1999,34430000.0,,,,,6480.0,132.0,12.74475
2000,37627500.0,,,,,6180.0,118.5,11.53640909090909
2001,36269000.0,,,,,6030.0,108.1,11.012727272727274
2002,37593000.0,,,,,6600.0,114.0,12.628
2003,38361420.0,,,,,6791.7,116.8,13.47111111111111
2004,36235976.0,,,,,7322.1,123.0,8.530361111111112
2005,39795616.0,,1096207.6,,,8070.3,125.5,8.71279090909091
2006,40773000.0,,1531209.95,,,9580.0,139.0,4.1130555555555555
2007,43181000.0,,1247887.6,,,10540.0,153.0,3.406355714285714
2008,46742000.0,,,,,11750.7,171.3,7.187632608695652
2009,48144000.0,,,,,11721.7,169.8,5.165880612244898
2010,50061200.0,,,,,12342.5,177.2,6.641413043478261
2011,50627000.0,,,,,15140.0,204.2,6.659980434782609
2012,50497000.0,,,,,17240.0,210.6,6.05436582278481
2013,51534000.0,,,,,19090.0,244.4,7.058806930693069
2014,51806593.0,,,,,18480.0,238.0,7.10778125
2015,51805464.0,,2139973.02,,,17508.3,224.6,7.445447169811321
2016,50452866.0,,,,,17125.0,217.7,8.338567768595041
2017,54148000.0,,,,,20705.0,257.4,11.530748913043478
2018,54416000.0,,,,,23430.0,280.7,9.617307792207791
2019,54586344.0,,,,,17890.0,211.8,9.127622784810127
2020,54905891.0,,,,,18290.0,215.5,3.8972203319502072
2021,56383442.0,23847.0,,957851.0,92389.0,24575.0,288.8,1.780136332179931
2022,57189193.0,23858.0,,,,25729.3,280.4,0.45952595419847325
2023,58613458.0,23904.0,,49650.0,6509.0,25172.3,236.8,0.46169078947368414
2024,,,,,,,,0.5014907657657658
